Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
1,0.353,0.233,0.100,1.000,0.70873,0.90136,0.87802,0.92523,1.7
2,0.369,0.241,0.100,1.000,0.73918,0.88943,0.86868,0.92518,2.3
3,0.366,0.237,0.100,1.000,0.77684,0.87107,0.86353,0.92463,3.0
4,0.386,0.244,0.100,1.000,0.80609,0.84692,0.86326,0.92547,3.6
5,0.397,0.249,0.100,1.000,0.80128,0.84175,0.85685,0.92652,4.2
6,0.407,0.246,0.100,1.000,0.83474,0.82049,0.85230,0.92613,4.9
7,0.421,0.248,0.100,1.000,0.83754,0.80961,0.85495,0.92646,5.4
8,0.430,0.252,0.100,1.000,0.84475,0.78207,0.85476,0.92704,6.1
9,0.437,0.252,0.100,1.000,0.85216,0.76916,0.84902,0.92570,6.8
10,0.455,0.253,0.100,1.000,0.86498,0.73390,0.84191,0.92640,7.5
11,0.468,0.250,0.100,1.000,0.87380,0.70266,0.83556,0.92523,8.2
12,0.478,0.250,0.100,1.000,0.86679,0.67969,0.83373,0.92629,8.8
13,0.496,0.252,0.100,1.000,0.87981,0.66781,0.83191,0.92561,9.4
14,0.502,0.255,0.100,1.000,0.88982,0.65714,0.82665,0.92357,10.0
15,0.517,0.252,0.100,1.000,0.88802,0.62238,0.82566,0.92384,10.7
16,0.544,0.251,0.100,1.000,0.88862,0.58611,0.81346,0.92025,11.3
17,0.549,0.249,0.100,1.000,0.90184,0.57041,0.82360,0.92107,12.0
18,0.558,0.246,0.100,1.000,0.90385,0.54521,0.81707,0.92035,12.5
19,0.584,0.241,0.100,1.000,0.90966,0.52896,0.81141,0.91546,13.0
20,0.593,0.239,0.100,1.000,0.90845,0.48798,0.80976,0.91416,13.6
21,0.600,0.244,0.100,1.000,0.91546,0.47155,0.80464,0.91206,14.2
22,0.616,0.239,0.100,1.000,0.91026,0.44058,0.79670,0.90777,14.7
23,0.624,0.235,0.100,1.000,0.91426,0.44062,0.79314,0.90573,15.2
24,0.653,0.229,0.100,1.000,0.92548,0.40628,0.78263,0.89570,15.8
25,0.662,0.220,0.100,1.000,0.92568,0.39688,0.78844,0.89325,16.3
26,0.682,0.209,0.100,1.000,0.92788,0.38212,0.79492,0.88679,16.8
27,0.698,0.202,0.100,1.000,0.93710,0.37922,0.79200,0.87722,17.2
28,0.719,0.189,0.100,1.000,0.93770,0.35484,0.79049,0.86368,17.9
29,0.731,0.187,0.100,1.000,0.94271,0.34934,0.78832,0.85389,18.3
30,0.751,0.170,0.100,1.000,0.94050,0.33269,0.80346,0.83871,18.6
31,0.760,0.170,0.100,1.000,0.94291,0.32314,0.80868,0.82738,19.0
32,0.779,0.156,0.100,1.000,0.94812,0.31080,0.80014,0.81297,19.4
33,0.784,0.154,0.100,1.000,0.95052,0.29758,0.81303,0.80523,19.8
34,0.797,0.147,0.100,1.000,0.95393,0.29504,0.81637,0.79564,20.2
35,0.808,0.138,0.136,1.000,0.94792,0.29100,0.82789,0.78067,20.6
36,0.821,0.130,0.100,1.000,0.95172,0.27047,0.84125,0.76003,21.1
37,0.832,0.128,0.110,1.000,0.95713,0.26936,0.84848,0.74565,21.5
38,0.838,0.125,0.100,1.000,0.95833,0.26714,0.85603,0.73614,21.9
39,0.848,0.121,0.100,1.000,0.95533,0.25708,0.87847,0.71636,22.6
40,0.849,0.116,0.100,1.000,0.95653,0.26220,0.88978,0.71493,22.9
41,0.862,0.105,0.306,1.000,0.95333,0.24816,0.88400,0.71155,23.4
42,0.860,0.107,0.249,1.000,0.95393,0.24738,0.89389,0.70335,23.9
